Area,Pincode
Abasana,382120
Adroda,382220
Adval,382460
Ahmedabad.,380001
Akru,382250
Alampur,363610
Alau,382255
Ambaliara,387810
Ambareli,387810
Ambawadi,380006
Ambawadi Vistar,380015
Ambli,382463
Amraiwadi,380026
Anandnagar,380007
Andej,382115
Aniali ( k ),363610
Aniali Bhimji,382250
Arnej,382230
Asalgam,382150
Asarwa Chakla,380016
Asarwa Ext south,380024
Ashoknagar,382140
Ashram Road,380009
Aslali,382427
Azad Society,380015
Badanpur,382465
Badarkha,382276
Bagad,382255
Bagodara,382230
Bajarda,382460
Bakrana,382170
Bakrol,382430
Baldana,382240
Balsasan,382145
Bamroli,382145
Bamsara,382240
Bapunagar,380024
Bareja,382425
Barwala Ghelasha,382450
Bavaliary,382455
Bavla,382220
Bavla Market yard,382220
Behrampura,380022
Bela,382450
Bhadaj,380060
Bhadana,382140
Bhadiad,382463
Bhairavnath Road,380028
Bhangadh,382455
Bhankoda,382140
Bhat,382210
Bhavda,382433
Bhayla,382220
Bhojwa,382150
Bholad,382230
Bhoyani,382145
Bhurkhi,382230
Bhuvaldi,382430
Bilasia,382330
Bodakdev,380054
Bodia,363610
Bol,382170
Bopal,380058
Bordibazar Viramgam,382150
Calico Mills,380022
Cantonment,380004
Chaloda,382260
Chandarva,382255
Chandial,382433
Chandisar,382260
Chandlodia,382481
Chandranagar,382150
Changodar,382213
Charanki,382450
Charel,382110
Charol,382120
Chaulaj,382433
Chekhla,382115
Chhabasar,382220
Chhaniar,382140
Chharodi,382170
Chhasiana,382460
Chiada,382220
Chokdi,382250
Chuval Dangarva,382145
Civil Hospital,380016
Ctm Char rasta,380026
D Cabin,380019
Dabhsar,382120
Dadhana,382120
Daduka,382110
Dadusar,387810
Dalod,382130
Daran,382220
Dariapur,380001
Daslana,382150
Daxini Society,380008
Dehgamda,382220
Dekawada,382120
Delhi Gate,380004
Deo Dholera,382240
Detroj,382120
Devaliya,363610
Devpura,382140
Devtimoti,382213
Dhakdi,382150
Dhamatvan,382435
Dhanala,382465
Dhandhuka,382460
Dhanwada,382220
Dharpipla,363610
Dhedasana,382130
Dhingada,382230
Dholera,382455
Dholi,382240
Dholka,387810
Digvijaynagar,382470
District Court,380001
Dodar,382170
Dudheshwar Tavdipura,380004
Dumana,382150
Durgi,382230
Ellisbridge,380006
Endla,382130
Fangadi,382110
Fatepur,382465
Fatewadi,382210
Fedra,382465
Galsana,363610
Gamanpura,382120
Gamdi,382435
Gamph,382465
Gandhi Ashram,380027
Gandhi Road,380001
Gangad,382240
Ganol,382265
Garodia,382115
Gatrad,382449
Geratpur,382435
Ghatisana,382140
Ghatlodia,380061
Gheekanta Road,380001
Ghoda,382150
Ghodasar,380050
Ghuma,380058
Girdharnagar,380004
Girmatha,382425
Gita Mandir road,380022
Godhavata,382255
Godhavi,382115
Gogla,382463
Gomtipur,380021
Goraiya,382150
Goraj,382110
Gorasu,382463
Gota,382481
Gujarat High court,380060
Gujarat University,380009
Gunda,382255
Gundi Sarvodaya ashram,382230
Gunjala,382120
Gunjar,382460
Gyaspur,382405
Hansalpur,382150
Harniav,382435
Hathijan,382445
Hebatpur,382455
Hirapur,382435
Hirapura,382150
I E bapunagar,380024
I I m,380015
Iawa (vasna),382170
Ingoli,382265
Isanpur,382443
Jagatpur,382470
Jakhada,382230
Jakwada,382150
Jalalpur Vajifa,387810
Jalampur,382150
Jalila,382255
Jalisana,382120
Jaliya,382460
Jamalpur,380001
Jamp,382110
Jantanagar,382449
Jawahar Chowk,380008
Jawaraj,382230
Jeska,382250
Jetalpur,382426
Jholapur,382170
Jivraj Park,380051
Jodhpur Char rasta,380015
Joshipura,382150
Juhapura,380055
Junapadhar,382150
Juval,382220
Juval Rupavati,382220
Kabir Chowk,380005
Kadipur,382463
Kadvasan,382130
Kalana,382170
Kali,382470
Kalupur Chakla,380001
Kalyangadh,382240
Kamiala,382465
Kamijala,382150
Kanbha,382430
Kaneti,382110
Kaniyel,382433
Kankravadi,382150
Kanz,382140
Karakthal,382150
Kasindra,382210
Kathwada,382430
Kathwada Maize product,382430
Katosan Road,382145
Kauka,382265
Kavitha,382260
Kelia vasna,387810
Kerala,382220
Keria,363610
Kesardi,382240
Khadia,380001
Khadol,382460
Khambhada,382450
Khamidana,382450
Khandachora Dhandhuka,382460
Khanpur,380001
Kharad,382460
Kharakuva Dholka,387810
Khas,382255
Khasta,382460
Khoda,382170
Khodiyar,382421
Khodiyarnagar,382350
Khokarnesh,363610
Khokhara Mehmadabad,380008
Khorajnanoda,382170
Khudad,382150
Khun,382455
Kocharia,382220
Kointia,382140
Kokta,382150
Kolat,382210
Koth,382240
Kothadia,382460
Krishnanagar,382345
Kubadthal,382430
Kubernagar,382340
Kubernagar B a,382340
Kuha,382433
Kujad,382430
Kukvav,382120
Kumarkhan,382150
Kundal,382110
